capturedDate,impressions,clicks,impressions_cumul,clicks_cumul,channel_name,region
2018-09-20,0.0,0.0,5.0,0.0,Display,Bangka Belitung
2018-09-20,2.0,0.0,7.0,0.0,Display,Bangka Belitung
2018-09-22,1.0,0.0,8.0,0.0,Display,Bangka Belitung
2018-09-25,0.0,0.0,8.0,0.0,Display,Bangka Belitung
2018-09-26,0.0,0.0,8.0,0.0,Display,Bangka Belitung
2018-09-17,7.0,0.0,7.0,0.0,Display,Banten
2018-09-17,73.0,0.0,80.0,0.0,Display,Banten
2018-09-17,1.0,0.0,81.0,0.0,Display,Banten
2018-09-17,30.0,0.0,111.0,0.0,Display,Banten
2018-09-17,5.0,0.0,116.0,0.0,Display,Banten
2018-09-17,6.0,0.0,122.0,0.0,Display,Banten
2018-09-17,11.0,0.0,133.0,0.0,Display,Banten
2018-09-17,30.0,0.0,163.0,0.0,Display,Banten
2018-09-17,8.0,0.0,171.0,0.0,Display,Banten
2018-09-17,36.0,0.0,207.0,0.0,Display,Banten
2018-09-17,3.0,0.0,210.0,0.0,Display,Banten
2018-09-17,2.0,0.0,212.0,0.0,Display,Banten
2018-09-17,3.0,0.0,215.0,0.0,Display,Banten
2018-09-18,1.0,0.0,216.0,0.0,Display,Banten
2018-09-18,16.0,0.0,232.0,0.0,Display,Banten
2018-09-18,1.0,0.0,233.0,0.0,Display,Banten
2018-09-18,2.0,0.0,235.0,0.0,Display,Banten
2018-09-18,6.0,0.0,241.0,0.0,Display,Banten
2018-09-18,4.0,0.0,245.0,0.0,Display,Banten
2018-09-18,1.0,0.0,246.0,0.0,Display,Banten
2018-09-18,11.0,0.0,257.0,0.0,Display,Banten
2018-09-18,6.0,0.0,263.0,0.0,Display,Banten
2018-09-18,24.0,0.0,287.0,0.0,Display,Banten
2018-09-18,2.0,0.0,289.0,0.0,Display,Banten
2018-09-18,5.0,0.0,294.0,0.0,Display,Banten
2018-09-18,5.0,0.0,299.0,0.0,Display,Banten
2018-09-19,1.0,0.0,300.0,0.0,Display,Banten
2018-09-19,30.0,0.0,330.0,0.0,Display,Banten
2018-09-19,1.0,0.0,331.0,0.0,Display,Banten
2018-09-19,3.0,0.0,334.0,0.0,Display,Banten
2018-09-19,7.0,0.0,341.0,0.0,Display,Banten
2018-09-19,1.0,0.0,342.0,0.0,Display,Banten
2018-09-19,2.0,0.0,344.0,0.0,Display,Banten
2018-09-19,21.0,0.0,365.0,0.0,Display,Banten
2018-09-19,3.0,0.0,368.0,0.0,Display,Banten
2018-09-19,27.0,0.0,395.0,0.0,Display,Banten
2018-09-19,1.0,0.0,396.0,0.0,Display,Banten
2018-09-19,3.0,0.0,399.0,0.0,Display,Banten
2018-09-19,0.0,0.0,399.0,0.0,Display,Banten
2018-09-20,18.0,0.0,417.0,0.0,Display,Banten
2018-09-20,0.0,0.0,417.0,0.0,Display,Banten
2018-09-20,29.0,0.0,446.0,0.0,Display,Banten
2018-09-20,3.0,0.0,449.0,0.0,Display,Banten
2018-09-20,3.0,0.0,452.0,0.0,Display,Banten
2018-09-20,2.0,0.0,454.0,0.0,Display,Banten
2018-09-20,1.0,0.0,455.0,0.0,Display,Banten
2018-09-20,5.0,0.0,460.0,0.0,Display,Banten
2018-09-20,33.0,0.0,493.0,0.0,Display,Banten
2018-09-20,3.0,0.0,496.0,0.0,Display,Banten
2018-09-20,0.0,0.0,496.0,0.0,Display,Banten
2018-09-20,2.0,0.0,498.0,0.0,Display,Banten
2018-09-20,2.0,0.0,500.0,0.0,Display,Banten
2018-09-20,0.0,0.0,500.0,0.0,Display,Banten
2018-09-21,11.0,0.0,511.0,0.0,Display,Banten
2018-09-21,4.0,0.0,515.0,0.0,Display,Banten
2018-09-21,14.0,0.0,529.0,0.0,Display,Banten
2018-09-21,2.0,0.0,531.0,0.0,Display,Banten
2018-09-21,23.0,0.0,554.0,0.0,Display,Banten
2018-09-22,2.0,0.0,556.0,0.0,Display,Banten
2018-09-22,30.0,0.0,586.0,0.0,Display,Banten
2018-09-22,4.0,0.0,590.0,0.0,Display,Banten
2018-09-22,11.0,0.0,601.0,0.0,Display,Banten
2018-09-22,2.0,0.0,603.0,0.0,Display,Banten
2018-09-22,3.0,0.0,606.0,0.0,Display,Banten
2018-09-22,5.0,0.0,611.0,0.0,Display,Banten
2018-09-22,17.0,0.0,628.0,0.0,Display,Banten
2018-09-22,3.0,0.0,631.0,0.0,Display,Banten
2018-09-23,3.0,0.0,634.0,0.0,Display,Banten
2018-09-23,11.0,0.0,645.0,0.0,Display,Banten
2018-09-23,1.0,0.0,646.0,0.0,Display,Banten
2018-09-23,3.0,0.0,649.0,0.0,Display,Banten
2018-09-23,5.0,0.0,654.0,0.0,Display,Banten
2018-09-23,6.0,0.0,660.0,0.0,Display,Banten
2018-09-23,0.0,0.0,660.0,0.0,Display,Banten
2018-09-23,29.0,0.0,689.0,0.0,Display,Banten
2018-09-23,12.0,0.0,701.0,0.0,Display,Banten
2018-09-23,1.0,0.0,702.0,0.0,Display,Banten
2018-09-23,1.0,0.0,703.0,0.0,Display,Banten
